session_id,age,trial_num,condition,category
CDM_photodraw_e11533159385631,6,4,S,rabbit
CDM_photodraw_e11533159385631,6,5,S,cat
CDM_photodraw_e11533159385631,6,6,S,shoe
CDM_photodraw_e11533159385631,6,7,S,train
CDM_photodraw_e11533159607984,5,3,W,cat
CDM_photodraw_e11533159607984,5,4,W,train
CDM_photodraw_e11533159607984,5,5,W,shoe
CDM_photodraw_e11533159607984,5,6,W,rabbit
CDM_photodraw_e11533159607984,5,7,W,cup
CDM_photodraw_e11533160231802,5,3,S,shoe
CDM_photodraw_e11533160231802,5,4,S,cup
CDM_photodraw_e11533160231802,5,5,S,cat
CDM_photodraw_e11533160231802,5,6,S,train
CDM_photodraw_e11533160231802,5,7,S,rabbit
CDM_photodraw_e11533161870392,5,3,S,cup
CDM_photodraw_e11533161870392,5,4,S,rabbit
CDM_photodraw_e11533161870392,5,5,S,shoe
CDM_photodraw_e11533161870392,5,6,S,train
CDM_photodraw_e11533161870392,5,7,S,cat
CDM_photodraw_e11533162144527,5,3,W,cup
CDM_photodraw_e11533162144527,5,4,W,shoe
CDM_photodraw_e11533162144527,5,5,W,cat
CDM_photodraw_e11533162144527,5,6,W,train
CDM_photodraw_e11533162144527,5,7,W,rabbit
CDM_photodraw_e11533164692587,4,3,P,rabbit
CDM_photodraw_e11533164692587,4,4,P,train
CDM_photodraw_e11533164692587,4,5,P,cup
CDM_photodraw_e11533164692587,4,6,P,shoe
CDM_photodraw_e11533164692587,4,7,P,cat
