,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
392,cdm_run_v21525286901090,8,a house,age3,1525287082268.0,2018-05-02T18:51:22.268Z,33,14.434,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age3_cdm_run_v21525286901090.png
393,cdm_run_v21525286901090,9,a cup,age3,1525287095859.0,2018-05-02T18:51:35.859Z,22,5.936,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age3_cdm_run_v21525286901090.png
394,cdm_run_v21525286901090,11,something you love,age3,1525287118310.0,2018-05-02T18:51:58.310Z,17,4.1,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age3_cdm_run_v21525286901090.png
395,cdm_run_v21525287392928,0,square,age3,1525287438541.0,2018-05-02T18:57:18.541Z,27,11.864,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21525287392928.png
396,cdm_run_v21525287392928,1,shape,age3,1525287462050.0,2018-05-02T18:57:42.050Z,17,9.395,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age3_cdm_run_v21525287392928.png
397,cdm_run_v21525287392928,2,this circle,age3,1525287480739.0,2018-05-02T18:58:00.739Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age3_cdm_run_v21525287392928.png
398,cdm_run_v21525288102233,0,square,age3,1525290877830.0,2018-05-02T19:54:37.830Z,6,8.21,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21525288102233.png
399,cdm_run_v21525288102233,1,shape,age3,1525290906496.0,2018-05-02T19:55:06.496Z,4,9.021,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age3_cdm_run_v21525288102233.png
400,cdm_run_v21525288102233,2,this circle,age3,1525290942678.0,2018-05-02T19:55:42.678Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age3_cdm_run_v21525288102233.png
401,cdm_run_v21525290944594,0,square,age3,1525290976051.0,2018-05-02T19:56:16.051Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age3_cdm_run_v21525290944594.png
402,cdm_run_v21525291006459,0,square,age2,1525292207029.0,2018-05-02T20:16:47.029Z,3,11.51,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v21525291006459.png
403,cdm_run_v21525291006459,1,shape,age2,1525292226789.0,2018-05-02T20:17:06.789Z,14,6.545,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age2_cdm_run_v21525291006459.png
404,cdm_run_v21525291006459,2,this circle,age2,1525292247804.0,2018-05-02T20:17:27.804Z,5,4.324,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age2_cdm_run_v21525291006459.png
405,cdm_run_v21525291006459,3,a fish,age2,1525292264110.0,2018-05-02T20:17:44.110Z,29,4.892,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age2_cdm_run_v21525291006459.png
406,cdm_run_v21525291006459,4,a car,age2,1525292283830.0,2018-05-02T20:18:03.830Z,13,7.817,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age2_cdm_run_v21525291006459.png
407,cdm_run_v21525291006459,5,a cup,age2,1525292302601.0,2018-05-02T20:18:22.601Z,11,7.453,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age2_cdm_run_v21525291006459.png
408,cdm_run_v21525291006459,6,a boat,age2,1525292319052.0,2018-05-02T20:18:39.052Z,4,5.442,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age2_cdm_run_v21525291006459.png
