"","workerid","rating","imageName","condition","imNameShort","category","age","sessionId","correct"
"189","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532114278628_P_age5.png","P","shoe_sketch_CDM_photodraw_e11532114278628_P_age5.png","shoe",5,"e11532114278628",FALSE
"190","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532556623648_P_age5.png","P","shoe_sketch_CDM_photodraw_e11532556623648_P_age5.png","shoe",5,"e11532556623648",FALSE
"191","a39a0cfcbf4e44546d260ccc1464ca19","shoe","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11532554214992_S_age6.png","S","shoe_sketch_CDM_photodraw_e11532554214992_S_age6.png","shoe",6,"e11532554214992",TRUE
"192","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/cup_sketch_CDM_photodraw_e11532554599143_W_age4.png","W","cup_sketch_CDM_photodraw_e11532554599143_W_age4.png","cup",4,"e11532554599143",TRUE
"193","a39a0cfcbf4e44546d260ccc1464ca19","rabbit","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cat_sketch_CDM_photodraw_e11533157120454_P_age5.png","P","cat_sketch_CDM_photodraw_e11533157120454_P_age5.png","cat",5,"e11533157120454",FALSE
"194","a39a0cfcbf4e44546d260ccc1464ca19","cat","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cat_sketch_CDM_photodraw_e11533148420272_P_age7.png","P","cat_sketch_CDM_photodraw_e11533148420272_P_age7.png","cat",7,"e11533148420272",TRUE
"195","a39a0cfcbf4e44546d260ccc1464ca19","cup","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/P/cup_sketch_CDM_photodraw_e11532462743178_P_age6.png","P","cup_sketch_CDM_photodraw_e11532462743178_P_age6.png","cup",6,"e11532462743178",TRUE
"196","a39a0cfcbf4e44546d260ccc1464ca19","bus","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch2/sketches_by_condition_only/W/train_sketch_CDM_photodraw_e11532552431212_W_age6.png","W","train_sketch_CDM_photodraw_e11532552431212_W_age6.png","train",6,"e11532552431212",FALSE
"197","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/P/shoe_sketch_CDM_photodraw_e11532542255729_P_age6.png","P","shoe_sketch_CDM_photodraw_e11532542255729_P_age6.png","shoe",6,"e11532542255729",FALSE
"198","a39a0cfcbf4e44546d260ccc1464ca19","cannot tell at all","https://langcog.stanford.edu/expts/BLL/photodraw-recognitionratings/batch1/sketches_by_condition_only/S/shoe_sketch_CDM_photodraw_e11532557358704_S_age7.png","S","shoe_sketch_CDM_photodraw_e11532557358704_S_age7.png","shoe",7,"e11532557358704",FALSE
