,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration,filename
317,cdm_run_v31526063462438,0,square,age6,1526063757635.0,2018-05-11T18:35:57.635Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31526063462438.png
318,cdm_run_v31526063462438,1,shape,age6,1526063779579.0,2018-05-11T18:36:19.579Z,3,7.301,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31526063462438.png
319,cdm_run_v31526063462438,2,this circle,age6,1526063794038.0,2018-05-11T18:36:34.038Z,2,4.714,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age6_cdm_run_v31526063462438.png
320,cdm_run_v31526063462438,3,a person,age6,1526063815241.0,2018-05-11T18:36:55.241Z,13,11.548,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age6_cdm_run_v31526063462438.png
321,cdm_run_v31526063462438,4,a tree,age6,1526063831926.0,2018-05-11T18:37:11.926Z,4,4.876,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age6_cdm_run_v31526063462438.png
322,cdm_run_v31526063462438,5,a boat,age6,1526063843321.0,2018-05-11T18:37:23.321Z,2,2.728,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age6_cdm_run_v31526063462438.png
323,cdm_run_v31526063462438,6,a cup,age6,1526063854421.0,2018-05-11T18:37:34.421Z,2,1.04,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age6_cdm_run_v31526063462438.png
324,cdm_run_v31526063462438,7,a house,age6,1526063870136.0,2018-05-11T18:37:50.136Z,7,5.679,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age6_cdm_run_v31526063462438.png
325,cdm_run_v31526063462438,8,a dog,age6,1526063894857.0,2018-05-11T18:38:14.857Z,10,15.759,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age6_cdm_run_v31526063462438.png
326,cdm_run_v31526063910231,0,square,age6,1526063932165.0,2018-05-11T18:38:52.165Z,8,0.693,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31526063910231.png
327,cdm_run_v31526063910231,1,shape,age6,1526063947324.0,2018-05-11T18:39:07.324Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31526063910231.png
328,cdm_run_v31526063950237,0,square,age6,1526063983416.0,2018-05-11T18:39:43.416Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31526063950237.png
329,cdm_run_v31526063950237,1,shape,age6,1526063999473.0,2018-05-11T18:39:59.473Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31526063950237.png
330,cdm_run_v31526063950237,2,this circle,age6,1526064011903.0,2018-05-11T18:40:11.903Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age6_cdm_run_v31526063950237.png
331,cdm_run_v31526063950237,3,a person,age6,1526064033603.0,2018-05-11T18:40:33.603Z,15,13.185,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age6_cdm_run_v31526063950237.png
332,cdm_run_v31526063950237,4,a boat,age6,1526064058815.0,2018-05-11T18:40:58.815Z,5,14.368,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age6_cdm_run_v31526063950237.png
333,cdm_run_v31526063950237,5,a fish,age6,1526064074883.0,2018-05-11T18:41:14.883Z,6,5.715,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age6_cdm_run_v31526063950237.png
334,cdm_run_v31526063950237,6,a cup,age6,1526064094300.0,2018-05-11T18:41:34.300Z,6,9.885,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age6_cdm_run_v31526063950237.png
335,cdm_run_v31526064096293,0,square,age6,1526064122300.0,2018-05-11T18:42:02.300Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age6_cdm_run_v31526064096293.png
336,cdm_run_v31526064096293,1,shape,age6,1526064136795.0,2018-05-11T18:42:16.795Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age6_cdm_run_v31526064096293.png
337,cdm_run_v31526064139398,0,square,age7,1526064417146.0,2018-05-11T18:46:57.146Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526064139398.png
338,cdm_run_v31526064139398,1,shape,age7,1526064436579.0,2018-05-11T18:47:16.579Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526064139398.png
339,cdm_run_v31526064139398,2,this circle,age7,1526064449133.0,2018-05-11T18:47:29.133Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526064139398.png
340,cdm_run_v31526064139398,3,a tree,age7,1526064462900.0,2018-05-11T18:47:42.900Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age7_cdm_run_v31526064139398.png
341,cdm_run_v31526064139398,4,a dog,age7,1526064485050.0,2018-05-11T18:48:05.050Z,15,13.134,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v31526064139398.png
342,cdm_run_v31526064139398,5,a boat,age7,1526064494725.0,2018-05-11T18:48:14.725Z,3,2.263,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age7_cdm_run_v31526064139398.png
343,cdm_run_v31526064497532,0,square,age7,1526064522057.0,2018-05-11T18:48:42.056Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526064497532.png
344,cdm_run_v31526064497532,1,shape,age7,1526064541274.0,2018-05-11T18:49:01.274Z,5,8.497,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526064497532.png
345,cdm_run_v31526064497532,2,this circle,age7,1526064552170.0,2018-05-11T18:49:12.170Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526064497532.png
346,cdm_run_v31526064497532,3,a boat,age7,1526064563892.0,2018-05-11T18:49:23.892Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age7_cdm_run_v31526064497532.png
347,cdm_run_v31526064497532,4,a fish,age7,1526064584101.0,2018-05-11T18:49:44.101Z,13,11.292,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v31526064497532.png
348,cdm_run_v31526064586872,0,square,age7,1526064599555.0,2018-05-11T18:49:59.555Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526064586872.png
349,cdm_run_v31526064586872,2,this circle,age7,1526064613186.0,2018-05-11T18:50:13.186Z,2,0.872,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526064586872.png
350,cdm_run_v31526064586872,3,a car,age7,1526064621334.0,2018-05-11T18:50:21.334Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a car_sketch_age7_cdm_run_v31526064586872.png
351,cdm_run_v31526064586872,4,a house,age7,1526064631298.0,2018-05-11T18:50:31.298Z,2,1.385,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a house_sketch_age7_cdm_run_v31526064586872.png
352,cdm_run_v31526064586872,5,a cup,age7,1526064641719.0,2018-05-11T18:50:41.719Z,4,4.128,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a cup_sketch_age7_cdm_run_v31526064586872.png
353,cdm_run_v31526064586872,6,a person,age7,1526064655121.0,2018-05-11T18:50:55.121Z,9,5.182,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a person_sketch_age7_cdm_run_v31526064586872.png
354,cdm_run_v31526064586872,7,a dog,age7,1526064673732.0,2018-05-11T18:51:13.732Z,12,10.097,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a dog_sketch_age7_cdm_run_v31526064586872.png
355,cdm_run_v31526064586872,8,a fish,age7,1526064687100.0,2018-05-11T18:51:27.100Z,5,5.653,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v31526064586872.png
356,cdm_run_v31526064586872,9,a tree,age7,1526064697999.0,2018-05-11T18:51:37.999Z,2,2.77,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a tree_sketch_age7_cdm_run_v31526064586872.png
357,cdm_run_v31526064586872,10,a boat,age7,1526064706429.0,2018-05-11T18:51:46.429Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a boat_sketch_age7_cdm_run_v31526064586872.png
358,cdm_run_v31526064586872,11,something you love,age7,1526064714930.0,2018-05-11T18:51:54.930Z,166,0.617,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/something you love_sketch_age7_cdm_run_v31526064586872.png
359,cdm_run_v31526064719488,0,square,age7,1526064734370.0,2018-05-11T18:52:14.370Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age7_cdm_run_v31526064719488.png
360,cdm_run_v31526064719488,1,shape,age7,1526064747522.0,2018-05-11T18:52:27.522Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age7_cdm_run_v31526064719488.png
361,cdm_run_v31526064719488,2,this circle,age7,1526064755430.0,2018-05-11T18:52:35.430Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age7_cdm_run_v31526064719488.png
362,cdm_run_v31526064719488,3,a fish,age7,1526064768691.0,2018-05-11T18:52:48.691Z,10,5.751,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/a fish_sketch_age7_cdm_run_v31526064719488.png
363,cdm_run_v31526064952740,0,square,age2,1526065294271.0,2018-05-11T19:01:34.270Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/square_sketch_age2_cdm_run_v31526064952740.png
364,cdm_run_v31526064952740,1,shape,age2,1526065315303.0,2018-05-11T19:01:55.303Z,21,10.605,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/shape_sketch_age2_cdm_run_v31526064952740.png
365,cdm_run_v31526064952740,2,this circle,age2,1526065326963.0,2018-05-11T19:02:06.963Z,1,0.0,/Users/brialong/Documents/GitHub/kiddraw/analysis/museumstation/python/sketches/this circle_sketch_age2_cdm_run_v31526064952740.png
